"id","EAP","HPL","MWS"
"id07068",0.86,0.04,0.1
"id07071",0.52,0.24,0.24
"id07080",0.5,0.48,0.02
"id07084",0.52,0.02,0.46
"id07089",0.74,0.16,0.1
"id07092",0.94,0,0.06
"id07094",0.68,0.28,0.04
"id07097",0.22,0.54,0.24
"id07099",0.48,0.38,0.14
"id07101",0.3,0.44,0.26
"id07102",0.62,0.14,0.24
"id07103",0.5,0.28,0.22
"id07108",0.44,0.22,0.34
"id07109",0.4,0.44,0.16
"id07113",0.7,0.12,0.18
"id07118",0.96,0.04,0
"id07120",1,0,0
"id07123",0.46,0.3,0.24
"id07131",0.24,0.62,0.14
"id07141",0.38,0.14,0.48
"id07145",0.2,0.3,0.5
"id07147",0.44,0.34,0.22
"id07148",0.5,0.08,0.42
"id07153",0.56,0.16,0.28
"id07155",0.52,0.16,0.32
"id07156",0.4,0.34,0.26
"id07157",0.04,0,0.96
"id07158",0.34,0.26,0.4
"id07161",0.94,0.04,0.02
"id07164",0.52,0.38,0.1
"id07167",0.54,0.44,0.02
"id07169",0.4,0.22,0.38
"id07174",0.64,0.26,0.1
"id07175",0.66,0.1,0.24
"id07178",0.78,0.12,0.1
"id07179",1,0,0
"id07181",0.28,0.52,0.2
"id07186",0.44,0.2,0.36
"id07189",0.32,0.1,0.58
"id07192",0.16,0.52,0.32
"id07193",0.66,0.32,0.02
"id07197",0.52,0.08,0.4
"id07207",0.38,0.36,0.26
"id07210",0.36,0.32,0.32
"id07217",0.54,0.04,0.42
"id07221",0.62,0.3,0.08
"id07223",0.6,0.36,0.04
"id07226",0.9,0,0.1
"id07227",0.24,0.56,0.2
"id07233",0.5,0.4,0.1
"id07239",0.42,0.36,0.22
"id07241",0.82,0.16,0.02
"id07244",0.36,0.28,0.36
"id07245",0.72,0,0.28
"id07248",0.62,0.18,0.2
"id07249",0.3,0.46,0.24
"id07251",0.08,0.72,0.2
"id07252",0.26,0.48,0.26
"id07254",0.4,0.28,0.32
"id07261",0.88,0,0.12
"id07264",0.82,0.06,0.12
"id07266",0.6,0.24,0.16
"id07267",0.8,0.14,0.06
"id07268",0.24,0.64,0.12
"id07271",0.6,0.28,0.12
"id07273",0.24,0.56,0.2
"id07274",0.88,0.1,0.02
"id07279",0.64,0.2,0.16
"id07280",0.74,0.24,0.02
"id07282",0.14,0.34,0.52
"id07289",0.34,0.24,0.42
"id07294",0.58,0.3,0.12
"id07295",0.56,0.18,0.26
"id07296",0.8,0.18,0.02
"id07298",0.48,0.22,0.3
"id07300",0.34,0.34,0.32
"id07301",0.34,0.32,0.34
"id07322",0.4,0.44,0.16
"id07328",0.26,0.24,0.5
"id07331",0.36,0.38,0.26
"id07332",0.76,0.02,0.22
"id07334",0.62,0.36,0.02
"id07339",1,0,0
"id07340",0.44,0.2,0.36
"id07343",0.3,0.16,0.54
"id07345",0.2,0.76,0.04
"id07347",0.42,0.18,0.4
"id07348",0.82,0.06,0.12
"id07352",0.48,0.22,0.3
"id07355",0.98,0,0.02
"id07358",0.58,0.28,0.14
"id07362",0.8,0.16,0.04
"id07365",0.26,0.1,0.64
"id07367",0.36,0.54,0.1
"id07368",0.24,0.4,0.36
"id07375",0.18,0.34,0.48
"id07376",0.5,0.26,0.24
"id07377",0.56,0.3,0.14
"id07378",0.96,0.02,0.02
"id07381",0.26,0.52,0.22
"id07389",0.24,0.52,0.24
"id07390",0.26,0.42,0.32
"id07393",0.6,0.16,0.24
"id07394",0.86,0.04,0.1
"id07405",0.2,0.7,0.1
"id07413",0.44,0.16,0.4
"id07416",0.34,0.36,0.3
"id07420",0.42,0.18,0.4
"id07421",0.58,0.34,0.08
"id07423",0.52,0.38,0.1
"id07425",0.36,0.04,0.6
"id07426",0.44,0.1,0.46
"id07427",0.7,0.16,0.14
"id07428",0.78,0.18,0.04
"id07429",0.34,0.4,0.26
"id07432",0.14,0.64,0.22
"id07434",1,0,0
"id07435",0.22,0.42,0.36
"id07436",0.26,0.02,0.72
"id07440",0.5,0.12,0.38
"id07443",0.28,0.24,0.48
"id07445",0.22,0.62,0.16
"id07457",1,0,0
"id07458",0.54,0.42,0.04
"id07464",0.3,0.1,0.6
"id07468",0.1,0.64,0.26
"id07474",0.1,0.26,0.64
"id07476",0.62,0.02,0.36
"id07480",0.68,0.28,0.04
"id07484",1,0,0
"id07488",0.38,0.6,0.02
"id07489",0.44,0.26,0.3
"id07490",0.3,0.52,0.18
"id07493",0.68,0.32,0
"id07495",0.6,0.04,0.36
"id07499",0.3,0.1,0.6
"id07500",0.16,0.68,0.16
"id07502",0.62,0.26,0.12
"id07505",0.82,0.1,0.08
"id07514",0.56,0.3,0.14
"id07518",0.32,0.54,0.14
"id07519",0.22,0.54,0.24
"id07520",0.74,0.12,0.14
"id07529",0.42,0.18,0.4
"id07530",0.88,0.1,0.02
"id07538",0.74,0.02,0.24
"id07547",0.34,0.46,0.2
"id07552",0.28,0.28,0.44
"id07553",0.58,0.22,0.2
"id07554",0.46,0.18,0.36
"id07557",0.5,0.3,0.2
"id07558",0.82,0.08,0.1
"id07559",0.7,0.1,0.2
"id07560",0.32,0.14,0.54
"id07561",0.98,0.02,0
"id07569",0.84,0.14,0.02
"id07575",0.48,0.5,0.02
"id07588",0.56,0,0.44
"id07590",0.94,0.02,0.04
"id07591",0.18,0.34,0.48
"id07592",0.22,0.48,0.3
"id07594",0.42,0.44,0.14
"id07597",0.5,0.28,0.22
"id07599",0.68,0.1,0.22
"id07600",0.72,0.02,0.26
"id07604",0.36,0.12,0.52
"id07608",1,0,0
"id07612",0.92,0,0.08
"id07617",0.24,0.48,0.28
"id07621",0.24,0.2,0.56
"id07622",0.54,0.28,0.18
"id07626",0.66,0.04,0.3
"id07628",0.76,0.14,0.1
"id07635",0.74,0.18,0.08
"id07638",0.82,0.12,0.06
"id07640",0.74,0.16,0.1
"id07643",0.64,0.24,0.12
"id07647",0.56,0.08,0.36
"id07649",0.68,0,0.32
"id07650",0.04,0.82,0.14
"id07653",0.68,0.2,0.12
"id07658",0.82,0.08,0.1
"id07659",0.72,0.1,0.18
"id07661",0.48,0.06,0.46
"id07666",0.1,0.28,0.62
"id07668",0.44,0.16,0.4
"id07669",0.42,0.18,0.4
"id07674",0.58,0.36,0.06
"id07677",0.86,0,0.14
"id07679",0.34,0.54,0.12
"id07681",0.18,0.22,0.6
"id07682",0.78,0.2,0.02
"id07688",0.38,0.02,0.6
"id07690",0.92,0,0.08
"id07695",0.92,0.04,0.04
"id07697",0.96,0.02,0.02
"id07699",0.8,0.1,0.1
"id07711",0.72,0.22,0.06
"id07714",0.46,0.04,0.5
"id07721",0.26,0.64,0.1
"id07722",0.3,0.36,0.34
"id07725",0.32,0.38,0.3
"id07727",0.68,0,0.32
"id07728",0.8,0.04,0.16
"id07736",0.24,0.04,0.72
"id07738",0.16,0.84,0
"id07745",0.6,0.04,0.36
"id07760",0.34,0.52,0.14
"id07780",0.86,0.04,0.1
"id07800",0.84,0,0.16
"id07805",0.42,0.48,0.1
"id07806",0.1,0.54,0.36
"id07807",0.34,0.56,0.1
"id07809",0.34,0.28,0.38
"id07815",0.38,0.52,0.1
"id07817",0.6,0.24,0.16
"id07822",0.78,0.04,0.18
"id07824",0.8,0.06,0.14
"id07825",0.3,0.64,0.06
"id07827",0.14,0.1,0.76
"id07828",0.54,0.16,0.3
"id07831",0.5,0.3,0.2
"id07833",0.22,0.3,0.48
"id07834",0.46,0.14,0.4
"id07837",0.46,0.18,0.36
"id07847",0.68,0.2,0.12
"id07853",0.46,0.04,0.5
"id07856",0.42,0.46,0.12
"id07861",0.8,0.16,0.04
"id07869",0.74,0.1,0.16
"id07872",0.46,0.34,0.2
"id07873",0.3,0.24,0.46
"id07874",0.52,0.2,0.28
"id07880",0.68,0,0.32
"id07888",0.14,0.44,0.42
"id07890",0.44,0.32,0.24
"id07891",0.12,0.18,0.7
"id07896",0.4,0.18,0.42
"id07907",0.52,0.36,0.12
"id07911",0.62,0.02,0.36
"id07917",0.48,0.48,0.04
"id07920",0.38,0.54,0.08
"id07921",0.6,0.36,0.04
"id07922",0.24,0.08,0.68
"id07924",0.82,0,0.18
"id07934",0.82,0.1,0.08
"id07937",0.58,0.36,0.06
"id07941",0.84,0.04,0.12
"id07950",0.66,0.18,0.16
"id07951",0.62,0.14,0.24
"id07953",0.42,0.16,0.42
"id07956",0.68,0.08,0.24
"id07957",1,0,0
"id07960",0.2,0.72,0.08
"id07964",0.72,0.14,0.14
"id07965",0.44,0.4,0.16
"id07974",0.38,0.06,0.56
"id07975",0.96,0,0.04
"id07977",0.96,0.02,0.02
"id07980",0.18,0.12,0.7
"id07981",0.38,0.3,0.32
"id07985",0.46,0.46,0.08
"id07987",0.3,0.18,0.52
"id07989",0.58,0.32,0.1
"id07990",0.92,0.02,0.06
"id07998",0.58,0.18,0.24
"id08007",0.94,0.04,0.02
"id08008",0.92,0.02,0.06
"id08011",0.52,0.12,0.36
"id08014",0.46,0.52,0.02
"id08015",0.38,0.38,0.24
"id08016",0.44,0.54,0.02
"id08018",0.3,0.4,0.3
"id08019",0.68,0.04,0.28
"id08025",0.4,0.46,0.14
"id08027",0.24,0.54,0.22
"id08032",0.76,0.04,0.2
"id08033",0.46,0.46,0.08
"id08036",0.2,0.46,0.34
"id08037",0.42,0.08,0.5
"id08040",0.36,0.24,0.4
"id08042",0.44,0.32,0.24
"id08046",0.6,0.22,0.18
"id08048",0.24,0.44,0.32
"id08053",0.38,0.24,0.38
"id08054",1,0,0
"id08058",0.16,0.78,0.06
"id08062",0.84,0.14,0.02
"id08063",0.38,0.56,0.06
"id08065",0.68,0.2,0.12
"id08070",0.64,0.24,0.12
"id08073",0.6,0.02,0.38
"id08074",0.2,0.22,0.58
"id08076",0.86,0,0.14
"id08078",0.52,0.36,0.12
"id08088",0.4,0.42,0.18
"id08094",0.12,0.46,0.42
"id08095",0.7,0.24,0.06
"id08100",0.28,0.56,0.16
"id08101",0.54,0.26,0.2
"id08102",0.66,0.22,0.12
"id08107",0.36,0.22,0.42
"id08108",0.84,0.08,0.08
"id08115",0.76,0.18,0.06
"id08117",0.62,0.08,0.3
"id08118",0.16,0.06,0.78
"id08123",0.5,0.14,0.36
"id08126",0.16,0.08,0.76
"id08127",0.8,0.16,0.04
"id08128",0.18,0.26,0.56
"id08129",0.92,0,0.08
"id08131",0.8,0.18,0.02
"id08133",0.4,0.12,0.48
"id08134",0.64,0.04,0.32
"id08136",0.2,0.2,0.6
"id08143",0.84,0.12,0.04
"id08148",0.62,0.34,0.04
"id08152",0.26,0.08,0.66
"id08158",0.78,0.06,0.16
"id08160",0.78,0.02,0.2
"id08167",0.3,0.16,0.54
"id08168",0.1,0.66,0.24
"id08179",0.44,0.32,0.24
"id08181",0.5,0.24,0.26
"id08186",0.44,0.34,0.22
"id08187",0.36,0.44,0.2
"id08188",0.82,0.16,0.02
"id08194",0.76,0.22,0.02
"id08196",0.7,0.24,0.06
"id08200",0.56,0.34,0.1
"id08201",0.4,0.22,0.38
"id08203",0.48,0.14,0.38
"id08204",0.52,0.34,0.14
"id08211",0.44,0.3,0.26
"id08212",0.56,0.36,0.08
"id08216",0.54,0.44,0.02
"id08217",0.92,0.04,0.04
"id08219",0.78,0.02,0.2
"id08220",0.24,0.56,0.2
"id08222",0.26,0.16,0.58
"id08225",0.2,0.14,0.66
"id08236",0.2,0.62,0.18
"id08238",0.14,0.1,0.76
"id08240",0.8,0.18,0.02
"id08241",0.62,0.3,0.08
"id08243",0.24,0.54,0.22
"id08251",0.82,0.12,0.06
"id08252",0.32,0.2,0.48
"id08256",0.56,0.3,0.14
"id08264",0.78,0.1,0.12
"id08267",0.66,0.02,0.32
"id08269",0.54,0.32,0.14
"id08273",0.42,0.36,0.22
"id08274",0.78,0.04,0.18
"id08280",0.64,0.36,0
"id08281",0.94,0.06,0
"id08284",0.48,0.38,0.14
"id08285",0.48,0.08,0.44
"id08295",0.58,0.14,0.28
"id08297",0.34,0.4,0.26
"id08305",0.94,0.06,0
"id08307",0.08,0.68,0.24
"id08308",0.56,0.2,0.24
"id08309",0.62,0.24,0.14
"id08311",0.5,0.42,0.08
"id08315",0.86,0.08,0.06
"id08319",0.78,0.06,0.16
"id08324",0.46,0.24,0.3
"id08331",0.7,0.1,0.2
"id08333",0.56,0.3,0.14
"id08337",0.34,0.3,0.36
"id08340",0.4,0.24,0.36
"id08349",0.44,0.2,0.36
"id08351",0.48,0.36,0.16
"id08352",0.32,0.56,0.12
"id08357",0.7,0.04,0.26
"id08358",0.56,0.38,0.06
"id08364",0.68,0.18,0.14
"id08366",0.54,0.38,0.08
"id08369",0.18,0.18,0.64
"id08383",0.94,0,0.06
"id08385",0.34,0.62,0.04
"id08388",0.34,0.32,0.34
"id08389",0.72,0.1,0.18
"id08390",0.2,0.64,0.16
"id08403",0.24,0.44,0.32
"id08404",0.82,0,0.18
"id08406",0.96,0,0.04
"id08410",0.8,0.18,0.02
"id08422",0.8,0.12,0.08
"id08426",0.62,0.06,0.32
"id08430",0.56,0.28,0.16
"id08434",0.2,0.6,0.2
"id08435",0.5,0.48,0.02
"id08442",0.68,0.28,0.04
"id08444",0.26,0.22,0.52
"id08445",0.78,0.18,0.04
"id08449",0.58,0.14,0.28
"id08456",0.84,0.06,0.1
"id08458",0.3,0.52,0.18
"id08460",0.48,0.28,0.24
"id08468",0.18,0.4,0.42
"id08470",0.5,0.36,0.14
"id08471",0.88,0.1,0.02
"id08474",0.28,0.7,0.02
"id08475",0.7,0.16,0.14
"id08476",0.32,0.36,0.32
"id08479",0.5,0.32,0.18
"id08480",0.98,0,0.02
"id08481",0.34,0.32,0.34
"id08484",0.36,0.12,0.52
"id08490",0.02,0.64,0.34
"id08494",0.68,0.16,0.16
"id08495",0.66,0.14,0.2
"id08496",0.84,0.08,0.08
"id08501",0.84,0.14,0.02
"id08504",0.8,0.02,0.18
"id08505",0.68,0.22,0.1
"id08507",0.38,0.54,0.08
"id08515",0.24,0.2,0.56
"id08516",0.76,0.14,0.1
"id08519",0.8,0.1,0.1
"id08522",0.96,0.04,0
"id08523",0.22,0.1,0.68
"id08527",0.42,0.44,0.14
"id08529",0.48,0.38,0.14
"id08534",0.28,0.08,0.64
"id08535",0.34,0.34,0.32
"id08537",0.34,0.42,0.24
"id08541",0.62,0.36,0.02
"id08544",0.44,0.36,0.2
"id08545",0.36,0.3,0.34
"id08547",0.32,0.04,0.64
"id08550",0.12,0.74,0.14
"id08558",0.22,0.58,0.2
"id08559",0.52,0.36,0.12
"id08562",0.68,0.12,0.2
"id08569",0.4,0.38,0.22
"id08584",0.9,0.1,0
"id08587",0.34,0.32,0.34
"id08590",0.46,0.08,0.46
"id08591",0.68,0.28,0.04
"id08593",0.52,0.1,0.38
"id08595",0.76,0.04,0.2
"id08598",0.16,0.18,0.66
"id08601",0.3,0.7,0
"id08606",0.14,0.7,0.16
"id08607",0.72,0.1,0.18
"id08608",0.34,0.08,0.58
"id08610",0.66,0.16,0.18
"id08611",0.82,0.12,0.06
"id08614",0.38,0.52,0.1
"id08619",0.76,0.1,0.14
"id08623",0.82,0.12,0.06
"id08627",0.5,0.18,0.32
"id08635",0.68,0.22,0.1
"id08636",0.48,0.26,0.26
"id08637",0.6,0.4,0
"id08643",0.36,0.24,0.4
"id08645",0.22,0.44,0.34
"id08647",0.42,0.38,0.2
"id08659",0.8,0.04,0.16
"id08664",0.84,0.16,0
"id08665",0.34,0.4,0.26
"id08666",0.34,0.16,0.5
"id08673",1,0,0
"id08674",0.36,0.54,0.1
"id08679",0.24,0.28,0.48
"id08684",0.6,0.26,0.14
"id08686",0.14,0.34,0.52
"id08690",0.52,0.18,0.3
"id08693",0.72,0.18,0.1
"id08697",0.36,0.48,0.16
"id08702",0.54,0.2,0.26
"id08703",0.44,0.3,0.26
"id08707",0.48,0.28,0.24
"id08712",0.38,0.44,0.18
"id08713",0.76,0.04,0.2
"id08715",0.28,0.12,0.6
"id08718",0.64,0.06,0.3
"id08722",0.44,0.26,0.3
"id08726",0.42,0.5,0.08
"id08728",0.48,0.44,0.08
"id08731",0.14,0.52,0.34
"id08738",0.6,0.36,0.04
"id08746",0.72,0,0.28
"id08748",0.48,0,0.52
"id08750",0.72,0.14,0.14
"id08751",0.84,0.16,0
"id08752",0.62,0.14,0.24
"id08753",0.54,0.12,0.34
"id08754",0.5,0.32,0.18
"id08756",0.32,0,0.68
"id08765",0.28,0.16,0.56
"id08770",0.4,0.06,0.54
"id08773",0.78,0.04,0.18
"id08774",0.32,0.62,0.06
"id08777",0.76,0.14,0.1
"id08781",0.94,0.06,0
"id08783",0.56,0.24,0.2
"id08785",0.56,0.4,0.04
"id08786",0.46,0.16,0.38
"id08789",0.12,0.72,0.16
"id08791",0.28,0.26,0.46
"id08793",0.72,0.16,0.12
"id08796",0.34,0.5,0.16
"id08800",0.72,0.16,0.12
"id08801",0.28,0.14,0.58
"id08802",0.42,0.04,0.54
"id08809",0.4,0.14,0.46
"id08812",0.86,0.04,0.1
"id08813",0.4,0.36,0.24
"id08814",0.78,0.22,0
"id08817",0.4,0.26,0.34
"id08833",0.62,0.02,0.36
"id08841",0.28,0.18,0.54
"id08845",0.72,0.04,0.24
"id08846",0.06,0.76,0.18
"id08849",0.72,0.28,0
"id08855",0.32,0.52,0.16
"id08856",0.18,0.28,0.54
"id08857",0.46,0.4,0.14
"id08858",0.2,0.18,0.62
"id08864",0.32,0.08,0.6
"id08866",0.58,0.04,0.38
"id08871",0.74,0.22,0.04
"id08878",0.4,0.4,0.2
"id08879",0.1,0.9,0
"id08880",0.58,0.04,0.38
"id08881",1,0,0
"id08883",0.64,0,0.36
"id08884",0.58,0.34,0.08
"id08889",0.7,0.08,0.22
"id08890",0.46,0.12,0.42
"id08893",0.58,0.1,0.32
"id08894",0.94,0.06,0
"id08896",0.98,0.02,0
"id08898",0.52,0.28,0.2
"id08903",0.9,0.1,0
"id08909",0.28,0.26,0.46
"id08911",0.5,0.44,0.06
"id08914",0.7,0.04,0.26
"id08920",0.88,0.06,0.06
"id08921",0.36,0.4,0.24
"id08925",0.28,0.42,0.3
"id08928",0.78,0.06,0.16
"id08929",0.26,0.14,0.6
"id08930",0.86,0.08,0.06
"id08932",0.48,0.12,0.4
"id08935",0.88,0.1,0.02
"id08937",0.34,0.22,0.44
"id08943",0.7,0.1,0.2
"id08948",0.38,0.36,0.26
"id08950",0.26,0.56,0.18
"id08951",0.78,0.06,0.16
"id08955",0.2,0.7,0.1
"id08960",0.54,0.26,0.2
"id08961",0.32,0.24,0.44
"id08966",1,0,0
"id08968",0.46,0.48,0.06
"id08976",0.08,0.82,0.1
"id08977",0.42,0.44,0.14
"id08983",0.84,0.12,0.04
"id08988",0.58,0.28,0.14
"id08989",0.3,0.16,0.54
"id09009",0.38,0.36,0.26
"id09010",0.42,0.58,0
"id09016",0.82,0.06,0.12
"id09018",0.2,0.7,0.1
"id09022",0.56,0,0.44
"id09024",0.76,0.24,0
"id09029",0.3,0.48,0.22
"id09036",0.44,0.42,0.14
"id09037",0.42,0.26,0.32
"id09039",0.54,0.36,0.1
"id09041",0.48,0.14,0.38
"id09042",0.72,0.24,0.04
"id09044",0.5,0.4,0.1
"id09046",0.24,0.4,0.36
"id09047",0.3,0.14,0.56
"id09049",0.42,0.48,0.1
"id09050",0.34,0.64,0.02
"id09051",0.42,0.12,0.46
"id09057",0.22,0.1,0.68
"id09059",0.2,0.66,0.14
"id09066",0.56,0.3,0.14
"id09067",0.38,0.08,0.54
"id09070",0.32,0.08,0.6
"id09071",0.28,0.54,0.18
"id09075",0.22,0.22,0.56
"id09078",0.1,0.68,0.22
"id09084",0.98,0,0.02
"id09086",1,0,0
"id09091",0.62,0.08,0.3
"id09094",0.62,0.18,0.2
"id09104",0.56,0.38,0.06
"id09105",0.96,0,0.04
"id09107",0.76,0,0.24
"id09110",0.66,0.1,0.24
"id09111",1,0,0
"id09116",0.5,0.44,0.06
"id09118",0.18,0.34,0.48
"id09119",0.9,0.1,0
"id09125",0.3,0.48,0.22
"id09126",0.2,0.58,0.22
"id09133",0.36,0.28,0.36
"id09135",0.3,0.08,0.62
"id09137",0.68,0.1,0.22
"id09150",1,0,0
"id09152",0.24,0.48,0.28
"id09155",0.32,0.1,0.58
"id09156",0.36,0.44,0.2
"id09163",0.22,0.28,0.5
"id09164",0.7,0.28,0.02
"id09168",0.52,0.16,0.32
"id09170",0.82,0.12,0.06
"id09180",0.84,0.04,0.12
"id09182",0.82,0,0.18
"id09184",0.44,0.3,0.26
"id09189",0.46,0.36,0.18
"id09191",0.38,0.38,0.24
"id09192",0.58,0.38,0.04
"id09196",0.3,0.56,0.14
"id09198",0.78,0.22,0
"id09199",0.98,0,0.02
"id09203",0.26,0.5,0.24
"id09208",0.2,0.74,0.06
"id09209",0.58,0,0.42
"id09210",1,0,0
"id09211",0.52,0.34,0.14
"id09213",0.24,0.06,0.7
"id09218",0.6,0.36,0.04
"id09220",0.26,0.16,0.58
"id09228",0.96,0,0.04
"id09229",0.48,0.02,0.5
"id09231",1,0,0
"id09238",0.32,0.3,0.38
"id09245",0.76,0,0.24
"id09246",0.92,0,0.08
"id09248",0.6,0.1,0.3
"id09256",0.74,0.14,0.12
"id09257",0.22,0.04,0.74
"id09260",0.26,0.68,0.06
"id09262",0.72,0.24,0.04
"id09266",0.6,0.18,0.22
"id09268",0.64,0,0.36
"id09269",0.24,0.52,0.24
"id09273",0.3,0.36,0.34
"id09277",0.52,0,0.48
"id09285",0.76,0.12,0.12
"id09286",0.56,0.32,0.12
"id09287",0.3,0.42,0.28
"id09288",0.72,0.2,0.08
"id09289",0.5,0.4,0.1
"id09295",0.58,0.14,0.28
"id09300",0.26,0.64,0.1
"id09305",0.8,0.1,0.1
"id09310",0.76,0.1,0.14
"id09311",0.44,0.24,0.32
"id09315",0.54,0.34,0.12
"id09316",0.86,0.12,0.02
"id09317",0.82,0.06,0.12
"id09318",0.78,0.2,0.02
"id09320",0.82,0.08,0.1
"id09321",0.34,0.52,0.14
"id09328",0.76,0.12,0.12
"id09333",0.12,0.24,0.64
"id09335",0.72,0.16,0.12
"id09341",0.38,0.62,0
"id09343",0.66,0,0.34
"id09344",0.24,0.34,0.42
"id09352",0.78,0.06,0.16
"id09353",0.46,0.3,0.24
"id09359",0.66,0.02,0.32
"id09360",0.26,0.12,0.62
"id09361",0.12,0.12,0.76
"id09362",0.14,0.64,0.22
"id09363",0.36,0.28,0.36
"id09367",0.06,0.7,0.24
"id09374",0.48,0.18,0.34
"id09378",0.58,0.18,0.24
"id09385",0.88,0.04,0.08
"id09388",0.88,0,0.12
"id09390",0.12,0.18,0.7
"id09394",0.16,0.18,0.66
"id09396",0.36,0.52,0.12
"id09397",0.48,0.16,0.36
"id09399",0.48,0.32,0.2
"id09404",0.5,0.3,0.2
"id09405",0.56,0.1,0.34
"id09408",0.94,0,0.06
"id09409",0.7,0.06,0.24
"id09411",0.9,0.08,0.02
"id09413",0.24,0.48,0.28
"id09417",0.88,0,0.12
"id09418",0.66,0.06,0.28
"id09421",0.54,0.14,0.32
"id09428",0.6,0.04,0.36
"id09429",0.38,0.12,0.5
"id09435",0.72,0.04,0.24
"id09436",0.62,0.32,0.06
"id09441",0.4,0.16,0.44
"id09447",0.38,0.54,0.08
"id09450",0.98,0,0.02
"id09456",0.72,0.06,0.22
"id09458",0.2,0.16,0.64
"id09462",0.4,0.48,0.12
"id09466",0.74,0.12,0.14
"id09467",0.6,0.06,0.34
"id09468",0.62,0.26,0.12
"id09470",0.32,0.1,0.58
"id09476",0.6,0.2,0.2
"id09482",0.94,0,0.06
"id09484",0.54,0.06,0.4
"id09497",0.8,0.06,0.14
"id09498",0.8,0.18,0.02
"id09501",0.5,0.2,0.3
"id09506",0.88,0.08,0.04
"id09509",0.72,0.26,0.02
"id09511",0.32,0.44,0.24
"id09513",0.62,0.22,0.16
"id09516",0.68,0.22,0.1
"id09519",0.88,0.1,0.02
"id09532",0.98,0.02,0
"id09536",0.44,0.42,0.14
"id09537",0.74,0.2,0.06
"id09539",0.22,0.34,0.44
"id09543",0.28,0.6,0.12
"id09545",0.86,0.04,0.1
"id09550",0.3,0.4,0.3
"id09552",0.42,0,0.58
"id09555",0.6,0.06,0.34
"id09562",0.5,0.32,0.18
"id09563",0.3,0.54,0.16
"id09564",0.62,0.3,0.08
"id09567",0.34,0.5,0.16
"id09568",0.5,0.14,0.36
"id09569",0.92,0.08,0
"id09578",0.86,0.02,0.12
"id09580",0.84,0.14,0.02
"id09581",0.38,0.52,0.1
"id09588",0.98,0,0.02
"id09589",0.22,0.42,0.36
"id09592",0.36,0.18,0.46
"id09593",0.28,0.54,0.18
"id09596",0.58,0.4,0.02
"id09599",0.56,0.2,0.24
"id09601",0.38,0.36,0.26
"id09603",0.6,0.36,0.04
"id09608",0.7,0.26,0.04
"id09610",0.72,0.24,0.04
"id09613",0.42,0.56,0.02
"id09617",0.7,0.14,0.16
"id09619",0.1,0.7,0.2
"id09623",0.6,0.18,0.22
"id09634",0.16,0.38,0.46
"id09637",0.52,0.46,0.02
"id09640",0.34,0.36,0.3
"id09642",0.78,0.18,0.04
"id09643",0.72,0.06,0.22
"id09656",0.68,0.06,0.26
"id09659",0.7,0.02,0.28
"id09668",0.66,0.16,0.18
"id09671",0.54,0.38,0.08
"id09673",0.12,0.26,0.62
"id09675",0.46,0.02,0.52
"id09676",0.82,0.18,0
"id09679",0.86,0.14,0
"id09680",0.9,0.02,0.08
"id09692",0.22,0.04,0.74
"id09695",0.34,0.36,0.3
"id09696",0.7,0.14,0.16
"id09698",0.68,0.12,0.2
"id09699",0.5,0.32,0.18
"id09700",0.2,0.42,0.38
"id09703",0.3,0.58,0.12
"id09704",0.48,0.36,0.16
"id09706",0.96,0.02,0.02
"id09707",0.44,0.48,0.08
"id09708",1,0,0
"id09715",0.1,0.04,0.86
"id09721",0.4,0.18,0.42
"id09725",0.58,0.36,0.06
"id09727",0.64,0.24,0.12
"id09728",0.6,0.02,0.38
"id09731",0.64,0.34,0.02
"id09735",0.46,0.44,0.1
"id09738",0.72,0.04,0.24
"id09739",0.74,0.2,0.06
"id09740",0.24,0.28,0.48
"id09744",0.4,0.5,0.1
"id09745",0.52,0.48,0
"id09746",0.28,0.56,0.16
"id09751",0.8,0,0.2
"id09754",0.94,0.06,0
"id09757",0.24,0.68,0.08
"id09766",0.66,0.3,0.04
"id09768",0.28,0.3,0.42
"id09772",0.32,0.16,0.52
"id09776",0.28,0.56,0.16
"id09779",0.56,0.24,0.2
"id09780",0.7,0.06,0.24
"id09781",0.46,0.28,0.26
"id09782",0.46,0.34,0.2
"id09786",0.4,0.24,0.36
"id09788",0.44,0.4,0.16
"id09789",0.48,0,0.52
"id09791",0.6,0.06,0.34
"id09793",0.58,0.36,0.06
"id09794",0.38,0.16,0.46
"id09795",0.22,0.06,0.72
"id09807",0.16,0.6,0.24
"id09810",0.48,0.2,0.32
"id09817",0.38,0.34,0.28
"id09818",0.64,0.06,0.3
"id09823",0.5,0.46,0.04
"id09831",0.34,0.34,0.32
"id09834",0.62,0.22,0.16
"id09835",0.1,0.64,0.26
"id09836",0.62,0.3,0.08
"id09842",0.32,0.64,0.04
"id09844",0.34,0.3,0.36
"id09860",0.14,0.22,0.64
"id09861",0.54,0.4,0.06
"id09864",0.54,0.42,0.04
"id09871",0.32,0.24,0.44
"id09875",0.96,0.04,0
"id09876",0.96,0.04,0
"id09878",0.24,0.08,0.68
"id09881",0.62,0.1,0.28
"id09883",0.74,0.08,0.18
"id09894",0.6,0.24,0.16
"id09895",0.24,0.16,0.6
"id09896",0.84,0,0.16
"id09903",0.64,0.04,0.32
"id09906",0.46,0.18,0.36
"id09909",0.48,0.3,0.22
"id09916",0.88,0,0.12
